sample_id,feature_1,feature_2,label,split
class1_2787,-0.1185169991,-0.0848793355,1,development_pool
class1_2607,-1.5881695943,-0.6934841753,1,development_pool
class1_2605,-2.2610431419,0.3373252626,1,development_pool
class0_0501,-1.5437633018,-0.1113269597,0,test
class0_2637,1.0967784611,2.1795401814,0,test
class1_2434,-0.0530388109,-1.2841195254,1,development_pool
class0_2392,2.8618544247,1.3459694465,0,development_pool
class0_2020,1.0547643535,-0.0124525401,0,development_pool
class1_2468,0.0939391039,-1.5641943601,1,test
class0_2529,-0.1880231828,-0.1578785830,0,development_pool
class1_0954,-0.3655754925,-0.7968290395,1,development_pool
class1_2176,0.5473752891,-1.8151212214,1,development_pool
class0_1493,2.8136127335,1.3263154083,0,development_pool
class0_0461,0.2765988225,-1.3136718412,0,development_pool
class1_2038,-1.1302395473,-1.6111031742,1,test
class1_2583,-2.7985299735,-2.5065789173,1,development_pool
class0_1704,-0.2448049172,-0.0493309494,0,development_pool
class0_1766,-2.3595584756,0.5183816199,0,development_pool
class0_0979,0.0955888938,4.9565680200,0,development_pool
class0_2046,0.4419249587,2.6425607378,0,development_pool
class1_0343,-0.6263019035,-0.4042927304,1,test
class1_1294,-0.6096464803,-3.9271369349,1,test
class0_2636,-2.7291066300,1.2800647124,0,development_pool
class0_0990,0.9179147891,1.5485174807,0,development_pool
class1_0232,-0.8043996449,0.1237272459,1,development_pool
class0_1156,-0.5863527163,2.1947767575,0,development_pool
class1_2044,1.4890980714,-0.6515295508,1,test
class1_0141,-0.7515830586,-0.4636846419,1,development_pool
class1_0037,-1.0261820575,-0.3247749329,1,development_pool
class0_0529,-0.3841492719,1.4326347126,0,development_pool
class1_0575,-1.2248224194,-2.3677192079,1,test
class0_0211,-2.8146783078,-0.0953159679,0,development_pool
class1_2743,0.0804996153,0.0442578479,1,test
class1_2448,-0.3893945449,0.0270362689,1,development_pool
class1_1001,-0.0785436697,-0.8587952980,1,development_pool
class1_0242,0.5981864636,0.0829567038,1,development_pool
class0_2432,2.1978949535,0.1056226503,0,development_pool
class0_0683,-0.5123709193,-0.7579638778,0,development_pool
class1_2377,2.5046069755,0.7616152405,1,development_pool
class1_2228,0.8183551895,0.0578981707,1,development_pool
class1_0188,-1.1880187980,0.5137466544,1,development_pool
class1_0738,-1.7498530137,0.9307500153,1,development_pool
class0_1330,-0.0915676639,0.7655254406,0,test
class1_2403,-0.8708960284,-1.8946668082,1,development_pool
class1_1395,-0.5943652511,-1.6945041518,1,development_pool
class0_2405,-0.5291679979,-1.1789535227,0,development_pool
class0_1271,2.1480002689,0.1983328448,0,development_pool
class0_1919,-0.9683081945,-0.3799747026,0,test
class1_1753,-3.0206061860,-1.4858035421,1,development_pool
class0_1674,-0.4622686083,2.0018505429,0,development_pool
class0_0493,1.4006830987,-0.3938477613,0,development_pool
class0_1696,2.6179353640,1.3742050835,0,development_pool
class1_1987,-1.7695837745,-0.8342095439,1,development_pool
class0_2370,1.2515978572,2.3383489004,0,development_pool
class0_0091,0.5703912253,-0.7575115512,0,development_pool
class1_1510,-0.8312759211,0.2002975677,1,development_pool
class0_2996,-0.2474999727,0.2271565719,0,development_pool
class1_2352,-1.0855868829,0.8852946426,1,development_pool
class0_2015,-1.6378324406,-0.3951803759,0,development_pool
class0_0988,0.8186937845,0.2168035851,0,development_pool
class1_0497,-2.2289722777,-0.5657243142,1,development_pool
class1_2142,-1.6694106096,-1.3080069780,1,development_pool
class1_1383,-0.0863894007,-0.7915384963,1,development_pool
class0_1658,0.5203359756,1.1654914037,0,development_pool
class0_2422,-0.0406870187,-0.2601280646,0,development_pool
class1_2250,-1.7882473067,-1.5783449753,1,development_pool
class0_1551,0.5079066089,1.8333277366,0,test
class0_2849,1.4565829144,0.3021739686,0,development_pool
class1_2314,-1.1800717819,-2.2862604948,1,development_pool
class1_0615,-1.1653926154,-0.1394192151,1,development_pool
class1_2513,-1.8558849268,0.6198978270,1,development_pool
class1_0216,2.1244062187,-1.9315882920,1,development_pool
class1_2877,0.5814820517,0.1759331005,1,development_pool
class0_2572,-0.1652084470,-0.7964429309,0,development_pool
class0_0345,-0.5186007288,0.1696490339,0,development_pool
class1_1261,-0.4348487387,-0.1219132169,1,test
class1_2087,-1.3832585633,-0.8311065631,1,test
class0_1763,1.9612104087,0.1426433877,0,development_pool
class1_1995,1.0276774471,-0.1664618947,1,development_pool
class1_1756,2.5583110156,0.9784415828,1,test
class0_0977,1.8656583347,0.8528478780,0,development_pool
class1_2089,-0.8517744368,-0.0003775674,1,development_pool
class0_0181,-1.1799498208,1.1945590929,0,development_pool
class0_1382,0.1398092624,-0.8386267484,0,development_pool
class0_1191,2.1557079073,0.6728960860,0,development_pool
class0_0458,0.3742761354,0.8065344245,0,development_pool
class1_0151,0.8264075035,-1.4059516456,1,development_pool
class0_1915,-0.9937501469,-0.2487305332,0,development_pool
class0_1498,1.3430529926,1.4630852957,0,development_pool
class1_2654,0.6094367863,-1.1406365163,1,development_pool
class0_2878,1.4930783171,-0.1216018840,0,development_pool
class0_2152,0.8792602044,1.9690060472,0,development_pool
class0_0396,-0.0684458197,0.2533025617,0,development_pool
class0_1944,2.7090104757,2.4578490929,0,test
class0_0985,-0.1933083105,1.5631207709,0,development_pool
class1_1054,-1.0978562111,0.1705705768,1,development_pool
class0_2081,0.1161572567,0.8595021035,0,development_pool
class1_2620,-0.7548666349,-0.5552536598,1,development_pool
class0_0201,2.4768807863,1.5483329934,0,development_pool
class0_1377,1.0587403525,0.8250635746,0,development_pool
class0_0399,0.0096371435,1.0654134841,0,test
class0_2272,2.6905853350,1.7646825415,0,development_pool
class1_0830,-0.5705022116,-1.8710927119,1,development_pool
class0_0718,0.4396600902,0.8774310671,0,development_pool
class1_2613,0.8273779252,-3.4597441849,1,test
class0_0193,1.1036819509,1.3366710031,0,development_pool
class1_0034,-0.5570989044,1.1427073073,1,development_pool
class0_1401,-1.7604156415,2.4116141710,0,development_pool
class1_2509,0.2444482570,-0.9134641632,1,development_pool
class1_0473,0.3631191833,2.0411205313,1,test
class0_2902,-0.5194607166,2.2983647728,0,development_pool
class1_1521,-0.9345908791,-0.4765477763,1,development_pool
class0_1154,0.0663154579,-0.2174915234,0,development_pool
class1_2696,0.4906127239,1.1289905845,1,development_pool
class0_2162,0.1763300633,-1.4916540687,0,development_pool
class1_1114,-1.7826236697,1.6034956414,1,development_pool
class0_0252,1.3907236029,2.2628717941,0,development_pool
class1_1878,-0.8765824823,0.7449778812,1,development_pool
class1_2261,-0.2226385392,0.0029503423,1,development_pool
class1_2209,-1.8755334041,-1.5387297053,1,development_pool
class0_0770,3.8347253057,-0.6149641814,0,development_pool
class1_1685,-1.7111869584,-1.1391259739,1,development_pool
class1_1705,-1.1807816450,0.9196229551,1,development_pool
class1_1999,1.9421324792,0.8494605090,1,development_pool
class0_1173,1.6929896269,3.3926912992,0,development_pool
class0_0777,1.9734261841,0.6924286479,0,development_pool
class0_2460,-1.7831355664,0.2195768245,0,development_pool
class1_1484,-0.3850561732,0.0743922419,1,test
class1_1479,0.8801132993,0.3264082876,1,development_pool
class1_0184,1.5164064938,-2.0490181599,1,development_pool
class1_2075,1.4481608740,0.8390164984,1,development_pool
class1_0544,0.8299963320,-2.0919816917,1,development_pool
class1_2655,0.8416789614,-0.9104391667,1,test
class1_1618,-0.5999680442,-2.6332336477,1,development_pool
class0_1380,1.0902458448,2.0549459247,0,test
class0_0348,0.1771083834,-0.3024388984,0,development_pool
class0_2064,-0.0577297136,2.7288431026,0,test
class1_1722,0.3606320075,0.4839161109,1,development_pool
class1_2797,-3.7171151152,-1.7094723049,1,development_pool
class0_0669,1.3162168736,0.8476328502,0,development_pool
class0_2928,3.2035841358,0.4178018403,0,development_pool
class0_0579,-0.5918925335,2.8975660115,0,development_pool
class1_1603,1.8838898511,-0.7571373754,1,development_pool
class1_1300,0.2461311184,0.7812444676,1,development_pool
class0_1027,1.3596092916,0.8890789511,0,development_pool
class1_1777,-0.8518354434,-1.2027702946,1,development_pool
class0_0005,0.5251173062,1.3656477114,0,development_pool
class0_1745,2.6146135288,0.1396235377,0,test
class0_1384,0.1796468828,0.8841284747,0,test
class1_2249,0.8434985989,0.9785959916,1,development_pool
class1_0563,-0.2751659478,-3.2714417991,1,development_pool
class1_1910,-0.3251563303,1.3920386628,1,development_pool
class0_2394,0.3105503626,-0.6974475075,0,test
class0_1571,1.3444259828,-1.9510605662,0,development_pool
class0_0869,2.3267274990,0.6724943260,0,development_pool
class0_2285,-0.8885597815,-0.8666398345,0,test
